Time ,AvePressure [N/sq cm],MaxPressure [N/sq cm],MinPressure [N/sq cm],Force [N],Contact Area [sq cm],Centroid X [cm],Centroid Y [cm],Centroid Z [cm]
566.925,-0.074,0.061,-0.287,0.05,1.8,1.1,2.4,0
566.959,-0.074,0.061,-0.287,0.05,1.8,1.2,2.4,0
566.993,-0.074,0.061,-0.287,0.05,1.8,1.2,2.4,0
567.027,-0.074,0.061,-0.288,0.05,1.8,1.2,2.4,0
567.061,-0.074,0.061,-0.288,0.05,1.8,1.2,2.4,0
567.095,-0.074,0.061,-0.29,0.05,1.8,1.2,2.4,0
567.13,-0.074,0.061,-0.29,0.05,1.8,1.2,2.4,0
567.164,-0.074,0.061,-0.29,0.05,1.8,1.2,2.4,0
567.198,-0.074,0.061,-0.29,0.05,1.8,1.2,2.4,0
567.232,-0.074,0.061,-0.291,0.05,1.8,1.2,2.4,0
567.266,-0.074,0.063,-0.292,0.05,1.8,1.2,2.4,0
567.3,-0.074,0.065,-0.29,0.05,1.8,1.2,2.3,0
567.335,-0.074,0.061,-0.288,0.05,1.8,1.2,2.3,0
567.369,-0.074,0.06,-0.29,0.05,1.8,1.1,2.4,0
567.403,-0.074,0.06,-0.292,0.05,1.8,1.1,2.4,0
567.437,-0.074,0.06,-0.29,0.05,1.8,1.1,2.3,0
567.471,-0.074,0.058,-0.289,0.04,1.8,1.2,2.4,0
567.505,-0.074,0.058,-0.29,0.04,1.8,1.2,2.4,0
567.54,-0.074,0.061,-0.29,0.05,1.8,1.1,2.3,0
567.574,-0.074,0.063,-0.289,0.05,1.8,1.2,2.4,0
567.608,-0.074,0.06,-0.288,0.05,1.8,1.2,2.4,0
567.642,-0.074,0.058,-0.287,0.05,1.8,1.2,2.4,0
567.676,-0.074,0.056,-0.287,0.05,1.8,1.3,2.4,0
567.71,-0.075,0.055,-0.287,0.04,1.8,1.3,2.4,0
567.745,-0.075,0.055,-0.287,0.05,1.8,1.3,2.4,0
567.779,-0.075,0.055,-0.287,0.05,1.8,1.4,2.4,0
567.813,-0.075,0.055,-0.287,0.05,1.8,1.4,2.4,0
567.847,-0.075,0.055,-0.287,0.05,1.8,1.4,2.4,0
567.881,-0.075,0.058,-0.287,0.05,1.8,1.3,2.3,0
567.915,-0.075,0.061,-0.288,0.05,1.8,1.3,2.3,0
567.95,-0.075,0.061,-0.288,0.05,1.8,1.3,2.3,0
567.984,-0.075,0.061,-0.288,0.05,1.8,1.3,2.4,0
568.018,-0.075,0.058,-0.288,0.05,1.8,1.4,2.4,0
568.052,-0.075,0.055,-0.288,0.04,1.8,1.4,2.4,0
568.086,-0.075,0.056,-0.288,0.05,1.8,1.4,2.4,0
568.12,-0.075,0.058,-0.287,0.05,1.8,1.4,2.3,0
568.155,-0.075,0.058,-0.287,0.05,1.8,1.4,2.4,0
568.189,-0.075,0.058,-0.288,0.05,1.8,1.3,2.5,0
568.223,-0.075,0.06,-0.288,0.05,1.8,1.3,2.5,0
568.257,-0.075,0.06,-0.289,0.05,1.8,1.3,2.5,0
568.291,-0.075,0.055,-0.29,0.05,1.8,1.3,2.7,0
568.326,-0.075,0.051,-0.289,0.04,1.8,1.4,2.8,0
568.36,-0.075,0.051,-0.288,0.04,1.8,1.3,2.8,0
568.394,-0.075,0.051,-0.287,0.04,1.8,1.3,2.9,0
568.428,-0.075,0.051,-0.287,0.04,1.8,1.4,2.8,0
568.462,-0.075,0.051,-0.287,0.04,1.8,1.4,2.8,0
568.496,-0.075,0.053,-0.287,0.04,1.8,1.4,2.8,0
568.531,-0.074,0.053,-0.287,0.04,1.8,1.4,2.7,0
568.565,-0.074,0.053,-0.287,0.04,1.8,1.4,2.7,0
568.599,-0.074,0.053,-0.288,0.05,1.8,1.4,2.6,0
568.633,-0.074,0.053,-0.288,0.05,1.8,1.4,2.6,0
568.667,-0.074,0.053,-0.287,0.05,1.8,1.4,2.6,0
568.701,-0.074,0.053,-0.287,0.05,1.8,1.4,2.6,0
568.736,-0.074,0.055,-0.288,0.05,1.8,1.4,2.6,0
568.77,-0.074,0.056,-0.289,0.05,1.8,1.3,2.6,0
568.804,-0.074,0.058,-0.289,0.05,1.8,1.3,2.6,0
