Time1,AbsTime1,MaxPressure1,Force1,ContactArea1,Time2,AbsTime2,MaxPressure2,Force2,ContactArea2,Time3,AbsTime3,MaxPressure3,Force3,ContactArea3,Time4,AbsTime4,MaxPressure4,Force4,ContactArea4,Time5,AbsTime5,MaxPressure5,Force5,ContactArea5,Time6,AbsTime6,MaxPressure6,Force6,ContactArea6,Time7,AbsTime7,MaxPressure7,Force7,ContactArea7,Time8,AbsTime8,MaxPressure8,Force8,ContactArea8,Time9,AbsTime9,MaxPressure9,Force9,ContactArea9
0,721.789,0.083,0.17,4.3,6,733.646,0.095,0.2,5.4,12,747.177,0.09,0.18,5,18,762.043,0.101,0.18,4.3,24,774.686,0.097,0.17,4.7,30,790.063,0.111,0.19,5.8,36,802.638,0.111,0.16,4.7,42,828.609,0.079,0.18,5,48,853.348,0.093,0.28,7.2
0.034,721.823,0.083,0.17,4.3,6.034,733.68,0.095,0.19,5,12.034,747.211,0.09,0.18,4.7,18.034,762.077,0.101,0.18,4.3,24.034,774.72,0.097,0.16,4.7,30.034,790.097,0.109,0.19,5.4,36.034,802.672,0.109,0.16,4.3,42.034,828.644,0.079,0.18,4.7,48.034,853.383,0.093,0.27,6.8
0.068,721.857,0.083,0.17,4.3,6.068,733.714,0.094,0.19,5,12.068,747.246,0.09,0.19,5,18.068,762.112,0.102,0.18,4.3,24.068,774.754,0.097,0.17,4.7,30.068,790.131,0.106,0.18,5.8,36.068,802.707,0.107,0.16,4.3,42.068,828.678,0.078,0.18,4.7,48.068,853.417,0.094,0.28,9
0.102,721.891,0.083,0.17,4.3,6.102,733.748,0.094,0.19,5,12.102,747.28,0.15,0.25,5.4,18.102,762.146,0.102,0.18,4.3,24.102,774.789,0.097,0.17,4.7,30.102,790.165,0.102,0.18,5.8,36.102,802.741,0.106,0.15,4.3,42.102,828.712,0.079,0.18,4.7,48.102,853.451,0.094,0.38,13.3
0.137,721.926,0.083,0.17,4.3,6.136,733.783,0.094,0.21,5.4,12.136,747.314,0.267,0.34,5.4,18.136,762.18,0.102,0.18,4.3,24.136,774.823,0.094,0.17,5,30.136,790.199,0.102,0.19,5.8,36.136,802.775,0.102,0.15,4.3,42.136,828.746,0.08,0.18,4.7,48.136,853.485,0.126,0.64,17.6
0.171,721.96,0.082,0.17,4.3,6.17,733.817,0.188,0.25,5.8,12.17,747.348,0.407,0.43,5.4,18.17,762.214,0.101,0.18,4.3,24.17,774.857,0.092,0.19,5,30.17,790.233,0.176,0.36,7.2,36.17,802.809,0.101,0.15,4.3,42.17,828.78,0.082,0.18,5,48.17,853.519,0.148,1.24,22.7
0.205,721.994,0.082,0.17,4.3,6.204,733.851,0.334,0.32,5.8,12.204,747.382,0.5,0.55,5.8,18.204,762.248,0.094,0.18,5,24.204,774.891,0.129,0.29,5.4,30.204,790.268,0.281,0.71,9.4,36.204,802.843,0.102,0.15,4.3,42.204,828.814,0.082,0.19,5.4,48.204,853.554,0.223,2.28,32.4
0.239,722.028,0.083,0.17,4.7,6.238,733.885,0.432,0.39,6.1,12.238,747.416,0.659,0.74,6.8,18.238,762.282,0.092,0.25,6.1,24.238,774.925,0.181,0.46,8.6,30.238,790.302,0.488,1.44,13.3,36.238,802.877,0.102,0.15,4.3,42.238,828.849,0.082,0.19,5.4,48.238,853.588,0.306,3.83,39.2
0.273,722.062,0.083,0.17,4.3,6.272,733.919,0.601,0.5,6.5,12.272,747.451,0.827,1.06,6.8,18.272,762.317,0.105,0.34,7.6,24.272,774.96,0.353,0.9,10.4,30.272,790.336,0.685,2.51,15.5,36.272,802.912,0.104,0.14,4.3,42.272,828.883,0.082,0.19,5.8,48.272,853.622,0.381,5.77,46.1
0.308,722.097,0.082,0.17,4.3,6.306,733.954,0.713,0.66,6.8,12.306,747.485,0.999,1.38,7.9,18.306,762.351,0.157,0.49,8.6,24.306,774.994,0.468,1.45,11.9,30.306,790.37,0.908,3.74,16.2,36.306,802.946,0.106,0.14,4,42.306,828.917,0.094,0.25,6.8,48.306,853.656,0.555,8.02,54.7
