Time1,AbsTime1,MaxPressure1,Force1,ContactArea1,Time2,AbsTime2,MaxPressure2,Force2,ContactArea2,Time3,AbsTime3,MaxPressure3,Force3,ContactArea3,Time4,AbsTime4,MaxPressure4,Force4,ContactArea4,Time5,AbsTime5,MaxPressure5,Force5,ContactArea5,Time6,AbsTime6,MaxPressure6,Force6,ContactArea6,Time7,AbsTime7,MaxPressure7,Force7,ContactArea7,Time8,AbsTime8,MaxPressure8,Force8,ContactArea8,Time9,AbsTime9,MaxPressure9,Force9,ContactArea9
0,573.349,0.073,0.06,1.8,6,585.069,0.083,0.07,2.2,12,598.43,0.095,0.08,2.2,18,614.32,0.089,0.08,2.2,24,628.433,0.078,0.07,2.2,30,637.557,0.085,0.07,2.2,36,653.788,0.09,0.07,2.2,42,677.57,0.077,0.13,4.7,48,694.965,0.084,0.27,7.6
0.034,573.383,0.073,0.06,1.8,6.034,585.103,0.087,0.07,2.2,12.034,598.464,0.095,0.08,2.2,18.034,614.355,0.089,0.08,2.2,24.034,628.467,0.077,0.07,2.2,30.034,637.591,0.083,0.07,2.2,36.034,653.822,0.092,0.07,2.2,42.034,677.604,0.077,0.13,4.7,48.034,694.999,0.084,0.26,7.2
0.068,573.417,0.073,0.06,1.8,6.068,585.137,0.089,0.07,2.2,12.068,598.499,0.095,0.08,2.2,18.068,614.389,0.087,0.07,2.2,24.068,628.501,0.08,0.07,2.2,30.068,637.625,0.082,0.11,3.6,36.068,653.856,0.092,0.07,2.2,42.068,677.638,0.075,0.13,4.7,48.068,695.033,0.084,0.26,7.2
0.102,573.451,0.075,0.06,1.8,6.102,585.171,0.089,0.08,2.5,12.102,598.533,0.095,0.08,2.2,18.102,614.423,0.087,0.07,2.2,24.102,628.535,0.083,0.08,2.5,30.102,637.659,0.144,0.25,4.7,36.102,653.89,0.092,0.07,2.2,42.102,677.673,0.073,0.13,4.7,48.102,695.067,0.084,0.26,7.2
0.136,573.485,0.07,0.06,1.8,6.136,585.206,0.104,0.11,2.5,12.136,598.567,0.097,0.14,3.2,18.136,614.457,0.085,0.07,2.5,24.136,628.569,0.085,0.11,3.2,30.136,637.694,0.308,0.5,7.2,36.136,653.924,0.092,0.07,2.2,42.136,677.707,0.073,0.13,4.7,48.136,695.101,0.085,0.26,7.2
0.17,573.519,0.068,0.06,1.8,6.17,585.24,0.192,0.18,3.2,12.17,598.601,0.21,0.29,3.6,18.17,614.491,0.085,0.09,3.2,24.17,628.603,0.127,0.19,5,30.17,637.728,0.428,0.88,8.6,36.17,653.959,0.092,0.07,2.2,42.17,677.741,0.073,0.12,4.7,48.17,695.135,0.082,0.25,7.2
0.205,573.554,0.066,0.06,2.2,6.204,585.274,0.25,0.28,3.2,12.204,598.635,0.417,0.47,3.6,18.204,614.525,0.085,0.12,3.6,24.204,628.638,0.236,0.37,6.1,30.204,637.762,0.659,1.38,11.9,36.204,653.993,0.092,0.07,2.5,42.204,677.775,0.072,0.12,4.3,48.204,695.17,0.079,0.25,7.2
0.239,573.588,0.084,0.08,2.2,6.238,585.308,0.334,0.38,3.2,12.238,598.669,0.575,0.71,3.6,18.238,614.56,0.103,0.15,4,24.238,628.672,0.313,0.67,7.6,30.238,637.796,0.806,1.99,14.8,36.238,654.027,0.092,0.07,2.5,42.238,677.809,0.07,0.13,5.4,48.238,695.204,0.078,0.24,7.2
0.273,573.622,0.156,0.11,2.2,6.272,585.342,0.391,0.48,3.2,12.272,598.704,0.841,1.01,4,18.272,614.594,0.126,0.2,3.6,24.272,628.706,0.416,0.99,8.6,30.272,637.83,0.982,2.62,15.1,36.272,654.061,0.095,0.07,2.9,42.272,677.843,0.081,0.19,6.1,48.272,695.238,0.078,0.24,6.8
0.307,573.656,0.205,0.12,2.2,6.306,585.376,0.457,0.56,3.2,12.306,598.738,1.037,1.39,4.7,18.306,614.628,0.159,0.24,4.3,24.306,628.74,0.484,1.33,9.4,30.306,637.864,1.099,3.2,15.5,36.306,654.095,0.097,0.08,2.9,42.306,677.878,0.096,0.27,9,48.306,695.272,0.077,0.23,6.8
